LigneId,ArretId,SequenceArret,Girouette,Longitude,Latitude
346,11585,5,Gare Centrale,-73.8520708934612,45.5193470266457
346,11665,6,Gare Centrale,-73.8091338677806,45.5090871224706
346,11527,7,Gare Centrale,-73.7839319029124,45.5034295451525
346,11689,8,Gare Centrale,-73.7097712986331,45.5230083856647
346,11693,9,Gare Centrale,-73.6911657075008,45.528907990404
346,11697,10,Gare Centrale,-73.6728077522494,45.5249599470795
346,11729,11,Gare Centrale,-73.6448157466987,45.5169003007672
346,11619,12,Gare Centrale,-73.6343512314225,45.5138896215388
346,11637,13,Gare Centrale,-73.5666664467233,45.4999926193153
347,11591,1,Gare Centrale,-73.5984941743556,45.7295780511182
347,11559,2,Gare Centrale,-73.5211862409531,45.7284847839545
347,11561,3,Gare Centrale,-73.4861098745643,45.73457759649
347,11621,4,Gare Centrale,-73.5053396335276,45.6748668502272
347,11623,5,Gare Centrale,-73.5391645125645,45.6606521521568
347,11625,6,Gare Centrale,-73.5966570934621,45.6178584591404
347,11627,7,Gare Centrale,-73.615778056965,45.6003300616619
347,11629,8,Gare Centrale,-73.6302614556486,45.5829837575918
347,11631,9,Gare Centrale,-73.6543379892286,45.5493989906651
347,11633,10,Gare Centrale,-73.6626595277141,45.535017049501
347,11729,11,Gare Centrale,-73.6448157466987,45.5169003007672
347,11619,12,Gare Centrale,-73.6343512314225,45.5138896215388
347,11637,13,Gare Centrale,-73.5666664467233,45.4999926193153
347,11500,1,Mascouche,-73.55095,45.4853
347,11635,2,Mascouche,-73.5666664467233,45.4999926193153
347,11617,3,Mascouche,-73.6343512314225,45.5138896215388
347,11727,4,Mascouche,-73.6448157466987,45.5169003007672
347,11632,5,Mascouche,-73.6626595277141,45.535017049501
347,11630,6,Mascouche,-73.6543379892286,45.5493989906651
347,11628,7,Mascouche,-73.6302614556486,45.5829837575918
347,11626,8,Mascouche,-73.615778056965,45.6003300616619
347,11624,9,Mascouche,-73.5966570934621,45.6178584591404
347,11622,10,Mascouche,-73.5391645125645,45.6606521521568
347,11620,11,Mascouche,-73.5053396335276,45.6748668502272
347,11560,12,Mascouche,-73.4861098745643,45.73457759649
347,11558,13,Mascouche,-73.5211862409531,45.7284847839545
347,11590,14,Mascouche,-73.5984941743556,45.7295780511182
348,11499,1,Gare Centrale,-73.14865,45.5838
348,11599,2,Gare Centrale,-73.1784993373486,45.5771886379972
348,11593,3,Gare Centrale,-73.229774103894,45.5460432080354
348,11671,4,Gare Centrale,-73.3059218339024,45.5232970794913
348,11699,5,Gare Centrale,-73.3744074541639,45.512018918375
348,11703,6,Gare Centrale,-73.4338230510271,45.5081364819483
348,11707,7,Gare Centrale,-73.505822079799,45.4996249918934
348,11637,8,Gare Centrale,-73.5666664467233,45.4999926193153
348,11635,2,Mont-Saint-Hilaire,-73.5666664467233,45.4999926193153
348,11709,3,Mont-Saint-Hilaire,-73.505822079799,45.4996249918934
348,11705,4,Mont-Saint-Hilaire,-73.4338230510271,45.5081364819483
348,11701,5,Mont-Saint-Hilaire,-73.3744074541639,45.512018918375
348,11673,6,Mont-Saint-Hilaire,-73.3059218339024,45.5232970794913
348,11595,7,Mont-Saint-Hilaire,-73.229774103894,45.5460432080354
348,11597,8,Mont-Saint-Hilaire,-73.1784993373486,45.5771886379972
348,11499,9,Mont-Saint-Hilaire,-73.14865,45.5838
349,11501,1,Lucien-L'Allier,-73.97775,45.75606
349,11685,2,Lucien-L'Allier,-73.999116574088,45.7731786028551
349,11515,4,Lucien-L'Allier,-73.8661597194296,45.672417585119
349,11713,5,Lucien-L'Allier,-73.8335478331048,45.6360297746069
349,11661,6,Lucien-L'Allier,-73.7957392105248,45.6344962296449
349,11589,7,Lucien-L'Allier,-73.7647463211559,45.6254300538811
349,11573,8,Lucien-L'Allier,-73.742659032281,45.6037573160032
349,11577,9,Lucien-L'Allier,-73.7101020898893,45.5602790272218
349,11641,10,Lucien-L'Allier,-73.6769009374472,45.5402419364859
349,11611,11,Lucien-L'Allier,-73.6580302394954,45.5370481826374
349,11645,12,Lucien-L'Allier,-73.6237794274432,45.5314844387945
349,11601,13,Lucien-L'Allier,-73.6417387653488,45.4536719903492
349,11605,14,Lucien-L'Allier,-73.6030995911778,45.4737620423281
349,11613,15,Lucien-L'Allier,-73.570805750666,45.4947620353203
349,11685,2,Parc,-73.999116574088,45.7731786028551
349,11515,4,Parc,-73.8661597194296,45.672417585119
349,11713,5,Parc,-73.8335478331048,45.6360297746069
349,11661,6,Parc,-73.7957392105248,45.6344962296449
349,11589,7,Parc,-73.7647463211559,45.6254300538811
349,11573,8,Parc,-73.742659032281,45.6037573160032
349,11577,9,Parc,-73.7101020898893,45.5602790272218
349,11641,10,Parc,-73.6769009374472,45.5402419364859
349,11611,11,Parc,-73.6580302394954,45.5370481826374
349,11645,12,Parc,-73.6237794274432,45.5314844387945
349,11503,1,Saint-Jérôme,-73.665026,45.452827
349,11615,4,Saint-Jérôme,-73.570805750666,45.4947620353203
349,11607,5,Saint-Jérôme,-73.6030995911778,45.4737620423281
349,11603,6,Saint-Jérôme,-73.6417387653488,45.4536719903492
349,11643,7,Saint-Jérôme,-73.6237794274432,45.5314844387945
349,11609,8,Saint-Jérôme,-73.6580302394954,45.5370481826374
349,11639,9,Saint-Jérôme,-73.6769009374472,45.5402419364859
349,11575,10,Saint-Jérôme,-73.7101020898893,45.5602790272218
349,11571,11,Saint-Jérôme,-73.742659032281,45.6037573160032
349,11587,12,Saint-Jérôme,-73.7647463211559,45.6254300538811
349,11659,13,Saint-Jérôme,-73.7957392105248,45.6344962296449
349,11711,14,Saint-Jérôme,-73.8335478331048,45.6360297746069
349,11513,15,Saint-Jérôme,-73.8661597194296,45.672417585119
349,11683,17,Saint-Jérôme,-73.999116574088,45.7731786028551
349,11501,18,Saint-Jérôme,-73.97775,45.75606
350,11615,4,Beaconsfield,-73.570805750666,45.4947620353203
350,11607,5,Beaconsfield,-73.6030995911778,45.4737620423281
350,11603,6,Beaconsfield,-73.6417387653488,45.4536719903492
350,11553,8,Beaconsfield,-73.7113237489741,45.4486782577965
350,11545,9,Beaconsfield,-73.7431076525197,45.4491999376701
350,11651,12,Beaconsfield,-73.8034394320935,45.4472468978668
